plot,plotnum,site,trt,month,gCO2_m2_h,gCO2_m2_h_Z
D1C,1,D,C,Nov,-0.0019,0
D2C,2,D,C,Nov,0.0022,0.002236983
D3C,3,D,C,Nov,-0.0020,0
D1S,1,D,S,Nov,0.2298,0.229791162
D2S,2,D,S,Nov,0.0468,0.046820084
D3S,3,D,S,Nov,0.1911,0.191139366
J1C,1,J,C,Nov,-0.0138,0
J2C,2,J,C,Nov,0.1384,0.138444128
J3C,3,J,C,Nov,0.0225,0.022493592
J4C,4,J,C,Nov,0.0567,0.056733884
J5C,5,J,C,Nov,0.0694,0.069366404
J1S,1,J,S,Nov,-0.0153,0
J2S,2,J,S,Nov,0.0894,0.089410135
J3S,3,J,S,Nov,0.2199,0.219909945
J4S,4,J,S,Nov,0.0892,0.089180195
J5S,5,J,S,Nov,0.8190,0.81902689
D1C,1,D,C,Aug,0.0314,0.0314
D2C,2,D,C,Aug,0.0441,0.0441
D3C,3,D,C,Aug,0.0578,0.0578
D4C,4,D,C,Aug,0.0040,0.0040
D5C,5,D,C,Aug,0.0580,0.0580
D1S,1,D,S,Aug,0.0816,0.0816
D2S,2,D,S,Aug,0.0961,0.0961
D3S,3,D,S,Aug,0.1163,0.1163
D4S,4,D,S,Aug,0.1296,0.1296
D5S,5,D,S,Aug,0.1720,0.1720
J1C,1,J,C,Aug,0.1480,0.1480
J2C,2,J,C,Aug,0.1864,0.1864
J3C,3,J,C,Aug,0.0235,0.0235
J4C,4,J,C,Aug,0.0901,0.0901
J5C,5,J,C,Aug,0.0909,0.0909
J1S,1,J,S,Aug,0.0867,0.0867
J2S,2,J,S,Aug,0.1361,0.1361
J3S,3,J,S,Aug,0.1217,0.1217
J4S,4,J,S,Aug,0.2668,0.2668
J5S,5,J,S,Aug,0.2632,0.2632
D1C,1,D,C,Mar,0.0152,0.0152
D2C,2,D,C,Mar,0.0139,0.0139
D4C,4,D,C,Mar,0.0069,0.0069
D5C,5,D,C,Mar,-0.0292,0.0000
D2S,2,D,S,Mar,0.0406,0.0406
D3S,3,D,S,Mar,0.0861,0.0861
D4S,4,D,S,Mar,0.0784,0.0784
D5S,5,D,S,Mar,0.0411,0.0411
J1C,1,J,C,Mar,0.1597,0.1597
J2C,2,J,C,Mar,0.5260,0.5260
J3C,3,J,C,Mar,0.1640,0.1640
J4C,4,J,C,Mar,0.6577,0.6577
J5C,5,J,C,Mar,0.2377,0.2377
J1S,1,J,S,Mar,0.1784,0.1784
J2S,2,J,S,Mar,0.5321,0.5321
J3S,3,J,S,Mar,0.4030,0.4030
J4S,4,J,S,Mar,0.5593,0.5593
J5S,5,J,S,Mar,0.6613,0.6613
