Date,Site,Block,Survey,Quadrant,Grass,Vine,Plant_seedling,Start_t
11/15/22,Dune,1,edge,1,17,0,0,1130
11/15/22,Dune,1,interior,1,8,0,0,1130
11/15/22,Dune,1,edge,2,8,0,0,1130
11/15/22,Dune,1,interior,2,0,0,0,1130
11/15/22,Dune,1,edge,3,10,0,0,1130
11/15/22,Dune,1,interior,3,0,0,0,1130
11/15/22,Dune,1,edge,4,1,0,0,1130
11/15/22,Dune,1,interior,4,0,0,0,1130
11/15/22,Dune,2,edge,1,7,0,0,1130
11/15/22,Dune,2,interior,1,60,0,0,1130
11/15/22,Dune,2,edge,2,29,8,0,1130
11/15/22,Dune,2,interior,2,42,8,0,1130
11/15/22,Dune,2,edge,3,15,2,0,1130
11/15/22,Dune,2,interior,3,42,0,0,1130
11/15/22,Dune,2,edge,4,16,0,0,1130
11/15/22,Dune,2,interior,4,60,0,0,1130
11/15/22,Dune,3,edge,1,26,0,0,1130
11/15/22,Dune,3,interior,1,49,0,1,1130
11/15/22,Dune,3,edge,2,25,0,8,1130
11/15/22,Dune,3,interior,2,46,0,0,1130
11/15/22,Dune,3,edge,3,15,0,2,1130
11/15/22,Dune,3,interior,3,42,0,0,1130
11/15/22,Dune,3,edge,4,13,0,0,1130
11/15/22,Dune,3,interior,4,4,0,0,1130
11/15/22,Dune,4,edge,1,3,0,0,1130
11/15/22,Dune,4,edge,2,6,0,0,1130
11/15/22,Dune,4,edge,3,3,7,0,1130
11/15/22,Dune,4,edge,4,0,3,0,1130
11/15/22,Dune,4,interior,1,2,0,1,1130
11/15/22,Dune,4,interior,2,0,0,0,1130
11/15/22,Dune,4,interior,3,11,7,0,1130
11/15/22,Dune,4,interior,4,14,3,0,1130
11/15/22,Dune,5,edge,1,13,0,0,1130
11/15/22,Dune,5,edge,2,7,1,0,1130
11/15/22,Dune,5,edge,3,2,0,0,1130
11/15/22,Dune,5,edge,4,0,0,0,1130
11/15/22,Dune,5,interior,1,2,0,0,1130
11/15/22,Dune,5,interior,2,0,0,0,1130
11/15/22,Dune,5,interior,3,6,0,0,1130
11/15/22,Dune,5,interior,4,0,0,0,1130
11/15/22,Jungle,1,edge,1,1,0,20,930
11/15/22,Jungle,1,edge,2,4,0,4,930
11/15/22,Jungle,1,edge,3,4,0,9,930
11/15/22,Jungle,1,edge,4,2,2,2,930
11/15/22,Jungle,1,interior,1,0,2,72,930
11/15/22,Jungle,1,interior,2,0,0,11,930
11/15/22,Jungle,1,interior,3,0,0,20,930
11/15/22,Jungle,1,interior,4,0,0,14,930
11/15/22,Jungle,2,edge,1,4,0,5,930
11/15/22,Jungle,2,edge,2,0,0,5,930
11/15/22,Jungle,2,edge,3,1,0,6,930
11/15/22,Jungle,2,edge,4,0,0,12,930
11/15/22,Jungle,2,interior,1,0,0,1,930
11/15/22,Jungle,2,interior,2,0,0,0,930
11/15/22,Jungle,2,interior,3,0,0,2,930
11/15/22,Jungle,2,interior,4,0,0,1,930
11/15/22,Jungle,3,edge,1,0,0,6,930
11/15/22,Jungle,3,edge,2,1,0,5,930
11/15/22,Jungle,3,edge,3,1,0,9,930
11/15/22,Jungle,3,edge,4,0,0,2,930
11/15/22,Jungle,3,interior,1,1,0,10,930
11/15/22,Jungle,3,interior,2,1,0,1,930
11/15/22,Jungle,3,interior,3,1,0,2,930
11/15/22,Jungle,3,interior,4,0,0,2,930
11/15/22,Jungle,4,edge,1,0,0,23,930
11/15/22,Jungle,4,edge,2,0,0,14,930
11/15/22,Jungle,4,edge,3,0,3,7,930
11/15/22,Jungle,4,edge,4,0,0,8,930
11/15/22,Jungle,4,interior,1,0,0,1,930
11/15/22,Jungle,4,interior,2,0,0,0,930
11/15/22,Jungle,4,interior,3,0,0,0,930
11/15/22,Jungle,4,interior,4,0,0,5,930
11/15/22,Jungle,5,edge,1,12,0,15,930
11/15/22,Jungle,5,edge,2,1,0,3,930
11/15/22,Jungle,5,edge,3,1,0,4,930
11/15/22,Jungle,5,edge,4,4,0,6,930
11/15/22,Jungle,5,interior,1,3,0,16,930
11/15/22,Jungle,5,interior,2,2,0,8,930
11/15/22,Jungle,5,interior,3,0,0,0,930
11/15/22,Jungle,5,interior,4,2,0,5,930
