Date,Trip,Site,Survey,Block,Treatment,Placement,Amphipods,Coleoptera,Orthoptera,Hemiptera,Dermaptera,Arachnid,Diptera,Hymenoptera,Spiribolida,Collembola,Unknown_arthropod,Homoptera,Polydesmida,Gastropoda,Neuroptera,Mammal,Isopoda,Lepidoptera
8/1/22,1,Dune,Pitfalls,1,Control,Hi,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/1/22,1,Dune,Pitfalls,1,Control,Lo,0,0,0,0,0,0,4,12,0,1,3,0,0,0,0,0,0,0
8/1/22,1,Dune,Pitfalls,2,Control,Hi,1,9,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0
8/1/22,1,Dune,Pitfalls,2,Control,Lo,8,5,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
8/1/22,1,Dune,Pitfalls,3,Control,Hi,2,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
8/1/22,1,Dune,Pitfalls,3,Control,Lo,9,1,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0
8/1/22,1,Dune,Pitfalls,4,Control,Hi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/1/22,1,Dune,Pitfalls,4,Control,Lo,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
8/1/22,1,Dune,Pitfalls,5,Control,Hi,0,0,0,0,0,1,5,2,0,0,2,0,0,0,0,0,0,0
8/1/22,1,Dune,Pitfalls,5,Control,Lo,19,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0
8/1/22,1,Dune,Pitfalls,1,Sargassum,Hi,60,0,0,0,0,0,3,4,0,0,9,0,0,0,0,0,0,0
8/1/22,1,Dune,Pitfalls,1,Sargassum,Lo,294,2,0,0,1,2,3,9,0,0,0,0,0,0,0,0,0,0
8/1/22,1,Dune,Pitfalls,2,Sargassum,Hi,9,2,0,0,0,2,3,4,0,0,0,0,0,0,0,0,0,0
8/1/22,1,Dune,Pitfalls,2,Sargassum,Lo,540,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
8/1/22,1,Dune,Pitfalls,3,Sargassum,Hi,79,2,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0
8/1/22,1,Dune,Pitfalls,3,Sargassum,Lo,354,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
8/1/22,1,Dune,Pitfalls,4,Sargassum,Hi,5,0,0,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0
8/1/22,1,Dune,Pitfalls,4,Sargassum,Lo,138,0,0,0,0,3,4,0,0,0,4,0,0,0,0,0,0,0
8/1/22,1,Dune,Pitfalls,5,Sargassum,Hi,114,2,0,0,0,4,5,0,0,0,10,0,0,0,0,0,0,0
8/1/22,1,Dune,Pitfalls,5,Sargassum,Lo,360,0,0,0,0,4,42,19,0,0,0,0,0,0,0,0,0,0
11/14/22,2,Dune,Pitfalls,1,Control,Hi,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
11/14/22,2,Dune,Pitfalls,1,Control,Lo,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
11/14/22,2,Dune,Pitfalls,2,Control,Hi,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
11/14/22,2,Dune,Pitfalls,2,Control,Lo,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
11/14/22,2,Dune,Pitfalls,3,Control,Hi,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
11/14/22,2,Dune,Pitfalls,3,Control,Lo,0,2,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0
11/14/22,2,Dune,Pitfalls,4,Control,Hi,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/14/22,2,Dune,Pitfalls,4,Control,Lo,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
11/14/22,2,Dune,Pitfalls,5,Control,Hi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11/14/22,2,Dune,Pitfalls,5,Control,Lo,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
11/14/22,2,Dune,Pitfalls,1,Sargassum,Hi,0,0,0,0,0,1,6,109,0,0,0,0,0,0,0,0,0,0
11/14/22,2,Dune,Pitfalls,1,Sargassum,Lo,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0
11/14/22,2,Dune,Pitfalls,2,Sargassum,Hi,0,0,0,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0
11/14/22,2,Dune,Pitfalls,2,Sargassum,Lo,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
11/14/22,2,Dune,Pitfalls,3,Sargassum,Hi,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
11/14/22,2,Dune,Pitfalls,3,Sargassum,Lo,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
11/14/22,2,Dune,Pitfalls,4,Sargassum,Hi,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
11/14/22,2,Dune,Pitfalls,4,Sargassum,Lo,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
11/14/22,2,Dune,Pitfalls,5,Sargassum,Hi,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
11/14/22,2,Dune,Pitfalls,5,Sargassum,Lo,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0
3/24/23,3,Dune,Pitfalls,1,Control,Hi,0,2,0,0,0,5,1,34,0,0,0,0,0,0,0,0,0,6
3/24/23,3,Dune,Pitfalls,1,Control,Lo,0,2,0,0,0,1,3,9,0,0,0,0,0,0,0,0,0,0
3/24/23,3,Dune,Pitfalls,2,Control,Hi,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
3/24/23,3,Dune,Pitfalls,2,Control,Lo,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0
3/24/23,3,Dune,Pitfalls,3,Control,Hi,0,1,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0
3/24/23,3,Dune,Pitfalls,3,Control,Lo,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3/24/23,3,Dune,Pitfalls,4,Control,Hi,0,1,0,0,0,2,1,7,0,0,0,0,0,0,0,0,0,0
3/24/23,3,Dune,Pitfalls,4,Control,Lo,0,1,0,0,0,2,7,1,0,0,0,0,0,0,0,0,0,0
3/24/23,3,Dune,Pitfalls,5,Control,Hi,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,3
3/24/23,3,Dune,Pitfalls,5,Control,Lo,0,0,0,0,0,1,11,2,0,0,0,0,0,0,0,0,0,0
3/24/23,3,Dune,Pitfalls,1,Sargassum,Hi,0,2,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
3/24/23,3,Dune,Pitfalls,1,Sargassum,Lo,0,2,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0
3/24/23,3,Dune,Pitfalls,2,Sargassum,Hi,0,4,0,0,0,1,2,20,0,0,0,0,0,0,0,0,0,0
3/24/23,3,Dune,Pitfalls,2,Sargassum,Lo,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0
3/24/23,3,Dune,Pitfalls,3,Sargassum,Hi,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0
3/24/23,3,Dune,Pitfalls,3,Sargassum,Lo,0,2,0,0,0,0,3,10,0,0,0,0,0,0,2,0,0,0
3/24/23,3,Dune,Pitfalls,4,Sargassum,Hi,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
