Trip,Site,Block,Treatment,Taxa,Count
1,Beach,1,Control,Amphipoda,3
1,Beach,1,Sargassum,Amphipoda,177
1,Beach,2,Control,Amphipoda,5
1,Beach,2,Sargassum,Amphipoda,275
1,Beach,3,Control,Amphipoda,6
1,Beach,3,Sargassum,Amphipoda,217
1,Beach,4,Control,Amphipoda,1
1,Beach,4,Sargassum,Amphipoda,71
1,Beach,5,Control,Amphipoda,10
1,Beach,5,Sargassum,Amphipoda,237
1,Forest,1,Control,Amphipoda,0
1,Forest,1,Sargassum,Amphipoda,0
1,Forest,2,Control,Amphipoda,0
1,Forest,2,Sargassum,Amphipoda,0
1,Forest,3,Control,Amphipoda,0
1,Forest,3,Sargassum,Amphipoda,0
1,Forest,4,Control,Amphipoda,0
1,Forest,4,Sargassum,Amphipoda,0
1,Forest,5,Control,Amphipoda,0
1,Forest,5,Sargassum,Amphipoda,0
2,Beach,1,Control,Amphipoda,0
2,Beach,1,Sargassum,Amphipoda,0
2,Beach,2,Control,Amphipoda,0
2,Beach,2,Sargassum,Amphipoda,0
2,Beach,3,Control,Amphipoda,0
2,Beach,3,Sargassum,Amphipoda,0
2,Beach,4,Control,Amphipoda,1
2,Beach,4,Sargassum,Amphipoda,0
2,Beach,5,Control,Amphipoda,0
2,Beach,5,Sargassum,Amphipoda,0
2,Forest,1,Control,Amphipoda,0
2,Forest,1,Sargassum,Amphipoda,0
2,Forest,2,Control,Amphipoda,0
2,Forest,2,Sargassum,Amphipoda,0
2,Forest,3,Control,Amphipoda,0
2,Forest,3,Sargassum,Amphipoda,0
2,Forest,4,Control,Amphipoda,0
2,Forest,4,Sargassum,Amphipoda,0
2,Forest,5,Control,Amphipoda,0
2,Forest,5,Sargassum,Amphipoda,0
3,Beach,1,Control,Amphipoda,0
3,Beach,1,Sargassum,Amphipoda,0
3,Beach,2,Control,Amphipoda,0
3,Beach,2,Sargassum,Amphipoda,0
3,Beach,3,Control,Amphipoda,0
3,Beach,3,Sargassum,Amphipoda,0
3,Beach,4,Control,Amphipoda,0
3,Beach,4,Sargassum,Amphipoda,0
3,Beach,5,Control,Amphipoda,0
3,Beach,5,Sargassum,Amphipoda,1
3,Forest,1,Control,Amphipoda,0
3,Forest,1,Sargassum,Amphipoda,0
3,Forest,2,Control,Amphipoda,0
3,Forest,2,Sargassum,Amphipoda,0
3,Forest,3,Control,Amphipoda,0
3,Forest,3,Sargassum,Amphipoda,0
3,Forest,4,Control,Amphipoda,0
3,Forest,4,Sargassum,Amphipoda,0
3,Forest,5,Control,Amphipoda,0
3,Forest,5,Sargassum,Amphipoda,0
1,Beach,1,Control,Arachnida,0
1,Beach,1,Sargassum,Arachnida,2
1,Beach,2,Control,Arachnida,0
1,Beach,2,Sargassum,Arachnida,1
1,Beach,3,Control,Arachnida,1
1,Beach,3,Sargassum,Arachnida,1
1,Beach,4,Control,Arachnida,2
1,Beach,4,Sargassum,Arachnida,0
1,Beach,5,Control,Arachnida,3
1,Beach,5,Sargassum,Arachnida,4
1,Forest,1,Control,Arachnida,0
1,Forest,1,Sargassum,Arachnida,1
1,Forest,2,Control,Arachnida,1
1,Forest,2,Sargassum,Arachnida,2
1,Forest,3,Control,Arachnida,1
1,Forest,3,Sargassum,Arachnida,1
1,Forest,4,Control,Arachnida,1
1,Forest,4,Sargassum,Arachnida,1
1,Forest,5,Control,Arachnida,1
1,Forest,5,Sargassum,Arachnida,1
2,Beach,1,Control,Arachnida,1
2,Beach,1,Sargassum,Arachnida,0
2,Beach,2,Control,Arachnida,3
2,Beach,2,Sargassum,Arachnida,1
2,Beach,3,Control,Arachnida,2
2,Beach,3,Sargassum,Arachnida,2
