collection_date,sample_no.,site,trans_no.,quad_no.,treatment,code_name,spp.,mass(mg),N,C,c:n
11/8/21,1,Jungle,1,NA,Sargasso,squash,,3.54,1.8,19.4,10.78
11/8/21,2,Jungle,2,3,Control,star,,3.53,0.7,20.3,29
11/8/21,3,Jungle,2,2,Control,squash,,3.45,1.1,13.5,12.27
11/8/21,4,Jungle,2,3,Control,goat,,3.55,1.2,16.3,13.58
11/8/21,5,Jungle,2,2,Control,goat,,3.52,2.4,22.8,9.5
11/8/21,6,Jungle,2,2,Control,star,,3.51,1.4,29.6,21.14
11/8/21,7,Jungle,2,1,Control,star,,3.52,1.3,31.1,23.92
11/8/21,8,Jungle,2,NA,Sargasso,goat,,3.51,2.8,29,10.36
11/6/21,9,Valentine,1,2,Sargasso,thin,,3.59,1.7,30.8,18.12
11/6/21,10,Valentine,2,10,Control,wheat,,3.55,1.5,32.7,21.8
11/6/21,11,Valentine,1,2,Sargasso,star,,3.48,0.7,31.9,45.57
11/6/21,12,Valentine,2,8,Control,wheat,,3.48,1.1,40,36.36
11/6/21,13,Valentine,1,1,Sargasso,star,,3.51,1.5,23.2,15.47
11/6/21,14,Valentine,1,4,Sargasso,star,,3.57,1.2,20.2,16.83
11/6/21,15,Valentine,1,3,Sargasso,thin,,3.56,1.2,31.3,26.08
11/6/21,16,Valentine,2,7,Control,wheat,,3.53,1.4,27.5,19.64
11/6/21,17,Valentine,2,6,Control,star,,3.52,0.6,22.4,37.33
11/6/21,18,Valentine,1,5,Sargasso,star,,3.47,1,20.4,20.4
11/6/21,19,Valentine,2,7,Control,thin,,3.57,1,24.1,24.1
11/6/21,20,Valentine,1,5,Sargasso,thin,,3.48,1.4,26.6,19
11/6/21,21,Valentine,2,8,Control,thin,,3.46,1.1,31.9,29
11/7/21,22,Dune,2,6,Sargasso,star,,3.57,1.3,24,18.46
11/7/21,23,Dune,1,NA,Control,thin,,3.54,0.7,35.2,50.29
11/7/21,24,Dune,1,NA,Control,wheat,,3.48,0.7,39.6,56.57
11/7/21,25,Dune,2,9,Sargasso,star,,3.5,1.3,22.7,17.46
11/7/21,26,Dune,2,NA,Sargasso,star,,3.47,0.7,14.9,21.29
11/7/21,27,Dune,2,7,Sargasso,star,,3.56,1.6,30.2,18.88
11/7/21,28,Dune,2,9,Sargasso,thin,,3.51,1.7,35,20.59
11/7/21,29,Dune,2,NA,Sargasso,thin,,3.49,1,25.8,25.8
11/7/21,30,Dune,1,NA,Control,star,,3.46,1.7,23.4,13.76
