Date,Site,Dune,Treatment,Transect ,Quadrat,Position_m,Biomass_g,Star_grass,Thin_grass,Thick_grass,Wheat_grass,Dead_grass,Sea_rocket,Purselane,Goats_foot,Bay_cedar,Sea_lavander ,Water_lily,Sand,Other_plant,Dead_matter,Waxy,Squash,Sargasso,Spikey_grass,Bearing,notes,Trap_position (m),Ants,Flies,Wasps ,Spiders,Centipede,Beetles,Nats,Grasshopers,Moquitos,Lizard,Unknown_arthropod
11/6/21,Valentin,Sargasso ,Sargasso,1,1,19,375,68,0,0,0,31,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,"Parallele to water, 1.5m from edge of dune, 15m from water",5,127,2,0,0,2,4,14,1,0,0,0
11/6/21,Valentin,Sargasso ,Sargasso,1,2,5,55,6,46,0,0,10,0,0,0,0,0,0,38,0,0,0,0,0,0,NA,,10,101,9,1,3,2,10,0,0,0,0,0
11/6/21,Valentin,Sargasso ,Sargasso,1,3,6,890,2,0,0,0,0,0,92,0,0,0,0,6,0,0,0,0,0,0,NA,,22,35,0,0,0,1,0,129,1,1,0,3
11/6/21,Valentin,Sargasso ,Sargasso,1,4,4,185,27,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/6/21,Valentin,Sargasso ,Sargasso,1,5,23,280,73,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/6/21,Valentin,Natural,Control,2,1,13,525,0,0,20,0,0,33,23,0,0,0,0,24,0,0,0,0,0,0,NA,"Parallele to water, 2.5m frome edge, 15m from water",6,24,1,0,2,0,4,7,0,0,0,0
11/6/21,Valentin,Natural,Control,2,2,15,215,0,3,0,24,13,43,3,0,0,0,0,14,0,0,0,0,0,0,NA,,9,161,,2,5,0,1,20,0,1,0,0
11/6/21,Valentin,Natural,Control,2,3,7,215,0,21,0,31,24,8,0,0,14,0,0,2,0,0,0,0,0,0,NA,,21,35,1,0,2,0,8,10,0,0,0,0
11/6/21,Valentin,Natural,Control,2,4,10,345,0,0,0,0,3,34,0,0,0,42,5,16,0,0,0,0,0,0,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/6/21,Valentin,Natural,Control,2,5,22,625,0,0,0,4,5,26,0,0,0,65,0,0,0,0,0,0,0,0,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
