collection_date,sample_no.,site,trans_no.,quad_no.,treatment,code_name,spp.,mass(mg),N,C,CN,collection_date,sample_no.,site,treatment,quad,avg_N,avg_C,avg_CN
11/8/21,1,Jungle,1,a,Sargasso,squash,,3.54,1.8,19.4,10.78,11/8/21,1,Jungle,Sargasso,a,2.3,24.2,10.52
11/8/21,2,Jungle,2,3,Control,star,,3.53,0.7,20.3,29,11/8/21,2,Jungle,Control,3,0.95,18.3,19.26
11/8/21,3,Jungle,2,2,Control,squash,,3.45,1.1,13.5,12.27,11/8/21,3,Jungle,Control,2,1.63,16.475,10.09
11/8/21,4,Jungle,2,3,Control,goat,,3.55,1.2,16.3,13.58,11/8/21,4,Jungle,Control,1,1.3,31.1,23.92
11/8/21,5,Jungle,2,2,Control,goat,,3.52,2.4,22.8,9.5,,,,,,,,
11/8/21,6,Jungle,2,2,Control,star,,3.51,1.4,29.6,21.14,,,,,,,,
11/8/21,7,Jungle,2,1,Control,star,,3.52,1.3,31.1,23.92,,,,,,,,
11/8/21,8,Jungle,2,a,Sargasso,goat,,3.51,2.8,29,10.36,,,,,,,,
11/7/21,22,Dune,2,6,Sargasso,star,,3.57,1.3,24,18.46,,,,,,,,
11/7/21,23,Dune,1,4,Control,thin,,3.54,0.7,35.2,50.29,,,,,,,,
11/7/21,24,Dune,1,NA,Control,wheat,,3.48,0.7,39.6,56.57,,,,,,,,
11/7/21,25,Dune,2,9,Sargasso,star,,3.5,1.3,22.7,17.46,,,,,,,,
11/7/21,26,Dune,2,NA,Sargasso,star,,3.47,0.7,14.9,21.29,,,,,,,,
11/7/21,27,Dune,2,7,Sargasso,star,,3.56,1.6,30.2,18.88,,,,,,,,
11/7/21,28,Dune,2,9,Sargasso,thin,,3.51,1.7,35,20.59,,,,,,,,
11/7/21,29,Dune,2,NA,Sargasso,thin,,3.49,1,25.8,25.8,,,,,,,,
11/7/21,30,Dune,1,NA,Control,star,,3.46,1.7,23.4,13.76,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
