Date,Exp,Site,Dune,Quadrat,Sample_no.,Nitrite,Nitrate,,,notes 
11/6/21,Exploratory,Valentin,Sargasso ,1,3,0,5,,,
11/6/21,Exploratory,Valentin,Sargasso ,2,1,0,10,,,
11/6/21,Exploratory,Valentin,Sargasso ,3,10,0,40,,,
11/6/21,Exploratory,Valentin,Sargasso ,4,5,3,50,,,
11/6/21,Exploratory,Valentin,Sargasso ,5,8,1,5,,,
11/6/21,Exploratory,Valentin,Control,6,4,0,2,,,
11/6/21,Exploratory,Valentin,Control,7,9,0,5,,,
11/6/21,Exploratory,Valentin,Control,8,7,0,0,,,
11/6/21,Exploratory,Valentin,Control,9,6,0,5,,,
11/6/21,Exploratory,Valentin,Control,10,2,1,60,,,oversaturation after adding water
11/7/21,Exploratory,Dune,Control,1,1,0,0,,,Sampled with funnel since we forgot the syringe. Collected a higher mass initally and then subsampled 6mL
11/7/21,Exploratory,Dune,Control,2,2,0,0,,,
11/7/21,Exploratory,Dune,Control,3,3,0,0,,,
11/7/21,Exploratory,Dune,Control,4,4,0,5,,,
11/7/21,Exploratory,Dune,Control,5,5,0,10,,,
11/7/21,Exploratory,Dune,Sargasso ,6,6,0,70,,,
11/7/21,Exploratory,Dune,Sargasso ,7,7,0,25,,,
11/7/21,Exploratory,Dune,Sargasso ,8,8,0,10,,,
11/7/21,Exploratory,Dune,Sargasso ,9,9,0,80,,,
11/7/21,Exploratory,Dune,Sargasso ,10,10,0,35,,,
11/8/21,Exploratory,Jungle_dump,Sargasso ,1,1,1,90,,,
11/8/21,Exploratory,Jungle_dump,Sargasso ,2,2,0,50,,,
11/8/21,Exploratory,Jungle_dump,Sargasso ,3,3,1,100,,,
11/8/21,Exploratory,Jungle_dump,Control,1,1,0,35,,,
11/8/21,Exploratory,Jungle_dump,Control,2,2,0,17.5,,,
11/8/21,Exploratory,Jungle_dump,Control,3,3,0,17,,,
,,,,,,,,,,
