Date,Trip,Exp,Site,Type,Block,Trt,Sample_no.,Nitrite,Nitrate,mean_N,sd_N,se_N,pH,KH
11/7/21,0,Site Sampling,Beach,control,na,Beach Dune control,1,0,0,3,4.472136,2,na,na
11/7/21,0,Site Sampling,Beach,control,na,Beach Dune control,2,0,0,3,4.472136,2,na,na
11/7/21,0,Site Sampling,Beach,control,na,Beach Dune control,3,0,0,3,4.472136,2,na,na
11/7/21,0,Site Sampling,Beach,control,na,Beach Dune control,4,0,5,3,4.472136,2,na,na
11/7/21,0,Site Sampling,Beach,control,na,Beach Dune control,5,0,10,3,4.472136,2,na,na
11/7/21,0,Site Sampling,Beach,sargasso,na,Beach Dune Sargasso,6,0,70,44,29.874738,13.360389,na,na
11/7/21,0,Site Sampling,Beach,sargasso,na,Beach Dune Sargasso,7,0,25,44,29.874738,13.360389,na,na
11/7/21,0,Site Sampling,Beach,sargasso,na,Beach Dune Sargasso,8,0,10,44,29.874738,13.360389,na,na
11/7/21,0,Site Sampling,Beach,sargasso,na,Beach Dune Sargasso,9,0,80,44,29.874738,13.360389,na,na
11/7/21,0,Site Sampling,Beach,sargasso,na,Beach Dune Sargasso,10,0,35,44,29.874738,13.360389,na,na
11/8/21,0,Site Sampling,Forest,control,na,Jungle control,1,0,35,23.16667,10.251016,5.918427,na,na
11/8/21,0,Site Sampling,Forest,control,na,Jungle control,2,0,17.5,23.16667,10.251016,5.918427,na,na
11/8/21,0,Site Sampling,Forest,control,na,Jungle control,3,0,17,23.16667,10.251016,5.918427,na,na
11/8/21,0,Site Sampling,Forest,sargasso,na,Jungle Sargasso,1,1,90,80,26.457513,15.275252,na,na
11/8/21,0,Site Sampling,Forest,sargasso,na,Jungle Sargasso,2,0,50,80,26.457513,15.275252,na,na
11/8/21,0,Site Sampling,Forest,sargasso,na,Jungle Sargasso,3,1,100,80,26.457513,15.275252,na,na
7/31/22,1,Sargasso Manipulation,Beach,control,4,Sediment,na,0,0,na,na,na,8,240
7/31/22,1,Sargasso Manipulation,Beach,sargasso,3,Seaweed,na,0,0,na,na,na,8.4,40
7/31/22,1,Sargasso Manipulation,Beach,sargasso,3,Sediment,na,0,0,na,na,na,8,40
7/31/22,1,Sargasso Manipulation,Beach,control,3,Sediment,na,0,0,na,na,na,8.4,360
7/31/22,1,Sargasso Manipulation,Beach,control,1,Sediment,na,0,0,na,na,na,8.4,60
7/31/22,1,Sargasso Manipulation,Beach,sargasso,1,Sediment,na,0,17.5,na,na,na,8,40
7/31/22,1,Sargasso Manipulation,Beach,sargasso,1,Seaweed,na,0,0,na,na,na,8,40
7/31/22,1,Sargasso Manipulation,Beach,control,5,Sediment,na,0,0,na,na,na,8.4,240
7/31/22,1,Sargasso Manipulation,Beach,sargasso,5,Sediment,na,0,5,na,na,na,8,100
7/31/22,1,Sargasso Manipulation,Beach,sargasso,5,Seaweed,na,0,0,na,na,na,8,60
7/31/22,1,Sargasso Manipulation,Beach,sargasso,2,Seaweed,na,0,0,na,na,na,8,60
7/31/22,1,Sargasso Manipulation,Beach,sargasso,2,Sediment,na,0,5,na,na,na,8,60
7/31/22,1,Sargasso Manipulation,Beach,sargasso,4,Sediment,na,0,5,na,na,na,8,60
7/31/22,1,Sargasso Manipulation,Beach,control,2,Sediment,na,0,0,na,na,na,8.4,180
7/31/22,1,Sargasso Manipulation,Beach,sargasso,4,Seaweed,na,0,0,na,na,na,8,40
11/11/22,2,Sargasso Manipulation,Forest,sargasso,1,Seaweed,na,0,100,na,na,na,8,0
11/11/22,2,Sargasso Manipulation,Forest,sargasso,1,Sediment,na,0,10,na,na,na,6.8,80
11/11/22,2,Sargasso Manipulation,Forest,control,1,Sediment,na,0,0,na,na,na,6.8,80
11/11/22,2,Sargasso Manipulation,Forest,sargasso,2,Seaweed,na,0,10,na,na,na,6.8,40
11/11/22,2,Sargasso Manipulation,Forest,sargasso,2,Sediment,na,0,25,na,na,na,6.8,50
11/11/22,2,Sargasso Manipulation,Forest,control,2,Sediment,na,0,0,na,na,na,8,360
11/11/22,2,Sargasso Manipulation,Forest,control,3,Sediment,na,0,0,na,na,na,8,360
11/11/22,2,Sargasso Manipulation,Forest,sargasso,3,Seaweed,na,0,10,na,na,na,8,360
11/11/22,2,Sargasso Manipulation,Forest,sargasso,3,Sediment,na,0,10,na,na,na,8,360
11/11/22,2,Sargasso Manipulation,Forest,control,4,Sediment,na,0,0,na,na,na,8,360
11/11/22,2,Sargasso Manipulation,Forest,sargasso,4,Sediment,na,0,0,na,na,na,8,360
11/11/22,2,Sargasso Manipulation,Forest,sargasso,4,Seaweed,na,0,0,na,na,na,8,360
11/11/22,2,Sargasso Manipulation,Forest,sargasso,5,Sediment,na,0,0,na,na,na,8,360
11/11/22,2,Sargasso Manipulation,Forest,sargasso,5,Sediment,na,0,0,na,na,na,8,360
