rep,trip,treatment,site,co2
1,2,C,Beach,NA
2,2,C,Beach,0.002236983
3,2,C,Beach,NA
1,2,S,Beach,0.229791162
2,2,S,Beach,0.046820084
3,2,S,Beach,0.191139366
1,2,C,Forest,NA
2,2,C,Forest,0.138444128
3,2,C,Forest,0.022493592
4,2,C,Forest,0.056733884
5,2,C,Forest,0.069366404
1,2,S,Forest,NA
2,2,S,Forest,0.089410135
3,2,S,Forest,0.219909945
4,2,S,Forest,0.089180195
5,2,S,Forest,0.81902689
1,3,C,Beach,0.015248621
3,3,C,Beach,NA
4,3,C,Beach,NA
5,3,C,Beach,NA
2,3,S,Beach,0.040645861
5,3,S,Beach,0.041098688
4,3,S,Beach,0.078371891
3,3,S,Beach,0.086113006
1,3,S,Beach,0.049865535
2,3,C,Beach,0.013858878
5,3,C,Forest,0.237729415
4,3,C,Forest,0.657709253
3,3,C,Forest,0.163970859
2,3,C,Forest,0.526000316
1,3,C,Forest,0.159691058
5,3,S,Forest,0.661285212
4,3,S,Forest,0.559273117
3,3,S,Forest,0.402986083
2,3,S,Forest,0.532076341
1,3,S,Forest,NA
3,4,C,Beach,0.057774342
1,4,S,Beach,0.081557786
5,4,S,Beach,0.172002768
3,4,S,Beach,0.116288057
3,4,C,Forest,0.023487536
2,4,C,Forest,0.186410638
1,4,C,Forest,0.148013482
4,4,C,Forest,0.090053814
5,4,C,Forest,0.090888765
3,4,S,Forest,0.121703324
2,4,S,Forest,0.136057627
1,4,S,Forest,0.086740246
5,4,S,Forest,0.263160815
4,4,S,Forest,0.266811409
2,4,C,Beach,0.044062958
5,4,C,Beach,0.057977281
4,4,C,Beach,0.003997385
1,4,C,Beach,0.031391945
2,4,S,Beach,0.096127986
4,4,S,Beach,0.129614078
