Site,Trip,Cover,Effect_size,Class
Dune,1,grass,-0.6533217,
Dune,1,all_plants,-0.7201039,
Dune,1,bare,0.9906569,
Dune,1,leaf_litter,-1.112167,
Dune,2,grass,0.4827026,
Dune,2,all_plants,0.485731,
Dune,2,bare,-0.4573666,
Dune,2,leaf_litter,-0.7171372,
Dune,3,grass,4.397269,
Dune,3,all_plants,4.316919,
Dune,3,bare,8.904029,
Dune,3,leaf_litter,-8.434068,
Jungle,1,grass,-0.5358913,
Jungle,1,all_plants,-0.7778159,
Jungle,1,bare,8.904029,
Jungle,1,leaf_litter,-8.434068,
Jungle,2,grass,-0.3651484,
Jungle,2,all_plants,-1.304241,
Jungle,2,bare,7.980663,
Jungle,2,leaf_litter,-7.360115,
Jungle,3,grass,0,
Jungle,3,all_plants,0.05595543,
Jungle,3,bare,1.934012,
Jungle,3,leaf_litter,-2.815853,
Dune,4,grass,3.648109,
Dune,4,all_plants,3.276151,
Dune,4,bare,-5.13022,
Dune,4,leaf_litter,-0.6658013,
Jungle,4,grass,0,
Jungle,4,all_plants,-1.33027,
Jungle,4,bare,-1.916966,
Jungle,4,leaf_litter,-0.9174165,
