Trip,Survey,Site,Block,Treatment,Quadrat,Dist_from_edge,Litter,Substrate,Bermuda,Other_pants,Total,grass_prc_cover,total_plant_prc_cover,leaf_prc_cover,bare_prc_cover,grass_prc_cover_mean,other_prc_cover_mean
1,Ladder,Beach,1,Control,0,0,0,99,0,1,100,0,1,0,99,0,1.5
1,Ladder,Beach,1,Control,0,0,4,94,0,2,100,0,2,4,94,,
1,Ladder,Beach,2,Control,0,0,2,95,0,3,100,0,3,2,95,0,1.5
1,Ladder,Beach,2,Control,0,0,1,99,0,0,100,0,0,1,99,,
1,Ladder,Beach,3,Control,0,0,3,97,0,0,100,0,0,3,97,0,0
1,Ladder,Beach,3,Control,0,0,8,92,0,0,100,0,0,8,92,,
1,Ladder,Beach,4,Control,0,0,0,98,0,2,100,0,2,0,98,0,1
1,Ladder,Beach,4,Control,0,0,16,84,0,0,100,0,0,16,84,,
1,Ladder,Beach,5,Control,0,0,1,99,0,0,100,0,0,1,99,0,5.5
1,Ladder,Beach,5,Control,0,0,4,85,0,11,100,0,11,4,85,,
1,Ladder,Forest,1,Control,0,0,15,78,7,0,100,7,7,15,78,6.5,0
1,Ladder,Forest,1,Control,0,0,1,93,6,0,100,6,6,1,93,,
1,Ladder,Forest,2,Control,0,0,15,66,10,9,100,10,19,15,66,5,8
1,Ladder,Forest,2,Control,0,0,5,88,0,7,100,0,7,5,88,,
1,Ladder,Forest,3,Control,0,0,3,95,2,0,100,2,2,3,95,1,0.5
1,Ladder,Forest,3,Control,0,0,9,91,0,1,101,0,1,9,90,,
1,Ladder,Forest,4,Control,0,0,1,99,0,0,100,0,0,1,99,0,1
1,Ladder,Forest,4,Control,0,0,3,95,0,2,100,0,2,3,95,,
1,Ladder,Forest,5,Control,0,0,2,97,1,0,100,1,1,2,97,7,0
1,Ladder,Forest,5,Control,0,0,2,85,13,0,100,13,13,2,85,,
2,Ladder,Beach,1,Control,0,0,0,71,29,0,100,29,29,0,71,20.5,0
2,Ladder,Beach,1,Control,0,0,1,87,12,0,100,12,12,1,87,,
2,Ladder,Beach,2,Control,0,0,6,93,0,1,100,0,1,6,93,0,0.5
2,Ladder,Beach,2,Control,0,0,10,90,0,0,100,0,0,10,90,,
2,Ladder,Beach,3,Control,0,0,0,100,0,0,100,0,0,0,100,0,0
2,Ladder,Beach,3,Control,0,0,6,94,0,0,100,0,0,6,94,,
2,Ladder,Beach,4,Control,0,0,2,98,0,0,100,0,0,2,98,0,0
2,Ladder,Beach,4,Control,0,0,1,99,0,0,100,0,0,1,99,,
2,Ladder,Beach,5,Control,0,0,2,98,0,0,100,0,0,2,98,9,4.5
2,Ladder,Beach,5,Control,0,0,6,67,18,9,100,18,27,6,67,,
2,Ladder,Forest,1,Control,0,0,78,18,0,4,100,0,4,78,18,0,6.5
2,Ladder,Forest,1,Control,0,0,81,19,0,0,100,0,0,81,19,,
2,Ladder,Forest,2,Control,0,0,28,63,0,9,100,0,9,28,63,0,6.5
2,Ladder,Forest,2,Control,0,0,52,46,0,0,98,0,0,53,47,,
2,Ladder,Forest,3,Control,0,0,76,14,0,10,100,0,10,76,14,0.5,23
2,Ladder,Forest,3,Control,0,0,70,21,0,9,100,0,9,70,21,,
2,Ladder,Forest,4,Control,0,0,81,10,0,9,100,0,9,81,10,,
2,Ladder,Forest,4,Control,0,0,88,9,0,3,100,0,3,88,9,0,1.5
2,Ladder,Forest,5,Control,0,0,67,29,0,4,100,0,4,67,29,,
2,Ladder,Forest,5,Control,0,0,52,41,0,8,101,0,8,51,41,0,4
3,Ladder,Beach,1,Control,0,0,54,9,1,36,100,1,37,54,9,,
3,Ladder,Beach,1,Control,0,0,87,4,0,9,100,0,9,87,4,0,9
3,Ladder,Beach,2,Control,0,0,89,7,0,5,101,0,5,88,7,0.5,3.5
3,Ladder,Beach,2,Control,0,0,76,15,0,9,100,0,9,76,15,,
3,Ladder,Beach,3,Control,0,0,74,25,0,1,100,0,1,74,25,0.5,0.5
3,Ladder,Beach,3,Control,0,0,79,13,0,8,100,0,8,79,13,,
3,Ladder,Beach,4,Control,0,0,74,25,0,1,100,0,1,74,25,0,7.5
3,Ladder,Beach,4,Control,0,0,81,17,0,0,98,0,0,83,17,,
3,Ladder,Beach,5,Control,0,0,81,16,1,2,100,1,3,81,16,,
3,Ladder,Beach,5,Control,0,0,95,5,0,0,100,0,0,95,5,0,4.5
3,Ladder,Forest,1,Control,0,0,70,25,0,5,100,0,5,70,25,,
3,Ladder,Forest,1,Control,0,0,99,1,0,0,100,0,0,99,1,0,2.5
3,Ladder,Forest,2,Control,0,0,86,0,0,14,100,0,14,86,0,,
3,Ladder,Forest,2,Control,0,0,62,22,0,16,100,0,16,62,22,0,8
3,Ladder,Forest,3,Control,0,0,91,9,0,0,100,0,0,91,9,0,0
3,Ladder,Forest,3,Control,0,0,99,1,0,0,100,0,0,99,1,,
3,Ladder,Forest,4,Control,0,0,62,39,0,1,102,0,1,61,38,0,1.5
3,Ladder,Forest,4,Control,0,0,80,8,0,2,90,0,2,89,9,,
3,Ladder,Forest,5,Control,0,0,89,11,0,0,100,0,0,89,11,0,1.5
3,Ladder,Forest,5,Control,0,0,72,33,0,3,108,0,3,67,31,,
1,Ladder,Beach,1,Control,0.75,0.75,22,78,0,0,100,0,0,22,78,0,16
1,Ladder,Beach,1,Control,0.75,0.75,40,28,0,32,100,0,32,40,28,,
1,Ladder,Beach,2,Control,0.75,0.75,6,74,0,20,100,0,20,6,74,0,11
1,Ladder,Beach,2,Control,0.75,0.75,7,91,0,2,100,0,2,7,91,,
1,Ladder,Beach,3,Control,0.75,0.75,8,92,0,0,100,0,0,8,92,0,3
1,Ladder,Beach,3,Control,0.75,0.75,4,90,0,6,100,0,6,4,90,,
