Trip,Site,Treatment,Rep_no.,Wi_Wet,Wf_Ddry,ratio,Dry_est,Orig_mass,prc_Delta,prc_means,prc_SE,mean_Wi,mean_SE,,,,,Amphipoda,Arachnida,coleoptera,orthoptera,hemiptera,dermaptera,Hymenoptera,julida,collembola
1,Beach,small,1,234.08,na,0.1398,32.72,na,100,100,0,234.66725,0.416449429,,,,,0,0,0,0,0,0,0,0,0
1,Beach,small,2,223.7,na,0.1398,31.27,na,100,,,,,,,,,1,0,0,0,0,0,0,0,0
1,Beach,small,3,241.04,na,0.1398,33.7,na,100,,,,,,,,,0,0,0,0,0,0,0,0,0
1,Beach,small,4,231.59,na,0.1398,32.38,na,100,,,,,,,,,0,0,0,0,0,0,0,0,0
1,Beach,small,5,232.47,na,0.1398,32.5,na,100,,,,,,,,,0,0,0,0,0,0,0,0,0
1,Beach,small,6,232.32,na,0.1398,32.48,na,100,,,,,,,,,1,0,0,0,0,0,0,0,0
1,Beach,small,7,235.56,na,0.1398,32.93,na,100,,,,,,,,,0,0,0,0,0,0,0,0,0
1,Beach,small,8,234.79,na,0.1398,32.82,na,100,,,,,,,,,0,0,0,0,0,0,0,0,0
1,Beach,small,9,236.76,na,0.1398,33.1,na,100,,,,,,,,,0,0,0,0,0,0,0,0,0
1,Beach,small,10,236.67,na,0.1398,33.09,na,100,,,,,,,,,0,0,0,0,0,0,0,0,0
1,Beach,large,1,237.65,na,0.1398,33.22,na,100,100,0,,,,,,,84,0,0,1,0,0,0,0,0
1,Beach,large,2,233.43,na,0.1398,32.63,na,100,,,,,,,,,104,7,6,2,0,0,0,0,0
1,Beach,large,3,231.8,na,0.1398,32.41,na,100,,,,,,,,,108,1,,2,1,0,0,0,0
1,Beach,large,4,238.79,na,0.1398,33.38,na,100,,,,,,,,,125,0,0,0,0,0,0,0,0
1,Beach,large,5,238.83,na,0.1398,33.39,na,100,,,,,,,,,1,1,0,0,0,0,0,0,0
1,Beach,large,6,235.91,na,0.1398,32.98,na,100,,,,,,,,,41,0,0,1,0,0,0,0,0
1,Beach,large,7,235.64,na,0.1398,32.94,na,100,,,,,,,,,39,2,0,0,0,0,0,0,0
1,Beach,large,8,233.18,na,0.1398,32.6,na,100,,,,,,,,,157,1,0,0,0,1,0,0,0
1,Beach,large,9,232.45,na,0.1398,32.5,na,100,,,,,,,,,154,1,0,1,0,0,0,0,0
1,Beach,large,10,235.67,na,0.1398,32.95,na,100,,,,,,,,,68,0,0,0,0,0,0,0,0
1,Forest,small,1,234.08,na,0.1398,32.72,na,100,100,0,,,,,,,0,0,0,0,0,0,0,0,0
1,Forest,small,2,235.27,na,0.1398,32.89,na,100,,,,,,,,,0,0,0,0,0,0,0,0,0
1,Forest,small,3,234.51,na,0.1398,32.78,na,100,,,,,,,,,0,0,0,0,0,0,0,0,0
1,Forest,small,4,234.66,na,0.1398,32.81,na,100,,,,,,,,,0,0,0,0,0,0,0,0,0
1,Forest,small,5,234.14,na,0.1398,32.73,na,100,,,,,,,,,0,0,0,0,0,0,0,0,0
1,Forest,small,6,235.08,na,0.1398,32.86,na,100,,,,,,,,,0,0,0,0,0,0,0,0,0
1,Forest,small,7,233.6,na,0.1398,32.66,na,100,,,,,,,,,0,0,0,0,0,0,0,0,0
1,Forest,small,8,234.6,na,0.1398,32.8,na,100,,,,,,,,,0,0,0,0,0,0,0,0,0
1,Forest,small,9,234.5,na,0.1398,32.78,na,100,,,,,,,,,0,0,0,0,0,0,0,0,0
1,Forest,small,10,231.96,na,0.1398,32.43,na,100,,,,,,,,,0,0,0,0,0,0,0,0,0
1,Forest,large,1,235.18,na,0.1398,32.88,na,100,100,0,,,,,,,0,0,0,0,0,0,29,0,0
1,Forest,large,2,235.58,na,0.1398,32.93,na,100,,,,,,,,,0,0,2,0,0,0,0,0,0
1,Forest,large,3,234.58,na,0.1398,32.79,na,100,,,,,,,,,0,0,0,0,0,0,0,1,0
1,Forest,large,4,236.02,na,0.1398,33,na,100,,,,,,,,,0,0,0,0,0,0,1,2,1
1,Forest,large,5,235.35,na,0.1398,32.9,na,100,,,,,,,,,0,0,0,0,81,0,3,1,0
1,Forest,large,6,235.5,na,0.1398,32.92,na,100,,,,,,,,,0,0,0,0,1,0,0,0,0
1,Forest,large,7,235.91,na,0.1398,32.98,na,100,,,,,,,,,0,0,1,,167,0,2,1,0
1,Forest,large,8,235.36,na,0.1398,32.9,na,100,,,,,,,,,0,0,2,0,0,0,2,0,0
1,Forest,large,9,234.76,na,0.1398,32.82,na,100,,,,,,,,,0,0,1,0,0,0,1,0,0
1,Forest,large,10,233.72,na,0.1398,32.67,na,100,,,,,,,,,0,1,0,0,0,0,0,0,0
2,Beach,small,1,30.29,na,0.738197021,22.35998776,32.7,31.6,28.5,2.545644854,,,,,,,0,0,0,0,0,0,0,0,0
2,Beach,small,2,30.09,na,0.738197021,22.21234836,31.3,29,,,,,,,,,0,0,0,0,0,0,0,0,0
2,Beach,small,3,34.33,na,0.738197021,25.34230373,33.7,24.8,,,,,,,,,0,0,0,0,0,0,0,0,0
2,Beach,small,4,32.36,na,0.738197021,23.8880556,32.4,26.3,,,,,,,,,0,0,0,0,0,0,0,0,0
2,Beach,small,5,na,na,0.738197021,na ,32.5,na,,,,,,,,,0,0,0,0,0,0,0,0,0
2,Beach,small,6,30.48,na,0.738197021,22.5002452,32.5,30.8,,,,,,,,,0,0,0,0,0,0,0,0,0
2,Beach,small,7,27.13,na,0.738197021,20.02728518,32.9,39.1,,,,,,,,,0,0,0,0,0,0,0,0,0
2,Beach,small,8,29.96,na,0.738197021,22.11638275,32.8,32.6,,,,,,,,,0,0,0,0,0,0,0,0,0
2,Beach,small,9,30.89,na,0.738197021,22.80290598,33.1,31.1,,,,,,,,,0,0,0,0,0,0,0,0,0
2,Beach,small,10,39.78,na,0.738197021,29.36547749,33.1,11.3,,,,,,,,,0,0,0,0,0,0,0,0,0
2,Beach,large,1,20.05,na,0.738197021,14.80085027,33.2,55.4,56.3,4.333209741,,,,,,,0,0,0,0,0,0,0,0,0
2,Beach,large,2,18.32,na,0.738197021,13.52376942,32.6,58.5,,,,,,,,,0,6,0,0,0,0,0,0,0
