site_code,target_assemblage,quadrat_code,treatment,plot_angle,point_location,survey_date,top_layer,bottom_layer,SPP,yr,mo,recorder,scorer
CLEP,sargassum,1,control,vertical,row01col01,1/30/22,CRUCOR,ROCK,SARG,2022,1,RDA,TN
CLEP,sargassum,1,control,vertical,row02col01,1/30/22,ZONFAR,JUVSHOR,SARG,2022,1,RDA,TN
CLEP,sargassum,1,control,vertical,row03col01,1/30/22,SARHOR,JUVSHOR,SARG,2022,1,RDA,TN
CLEP,sargassum,1,control,vertical,row04col01,1/30/22,SARHOR,ROCK,SARG,2022,1,RDA,TN
CLEP,sargassum,1,control,vertical,row05col01,1/30/22,SARHOR,OTHRED,SARG,2022,1,RDA,TN
CLEP,sargassum,1,control,vertical,row01col02,1/30/22,SARHOR,ROCK,SARG,2022,1,RDA,TN
CLEP,sargassum,1,control,vertical,row02col02,1/30/22,SARHOR,ZONFAR,SARG,2022,1,RDA,TN
CLEP,sargassum,1,control,vertical,row03col02,1/30/22,SARHOR,ROCK,SARG,2022,1,RDA,TN
CLEP,sargassum,1,control,vertical,row04col02,1/30/22,SARHOR,CRUCOR,SARG,2022,1,RDA,TN
CLEP,sargassum,1,control,vertical,row05col02,1/30/22,SARHOR,SARHOR,SARG,2022,1,RDA,TN
CLEP,sargassum,1,control,vertical,row01col03,1/30/22,SARHOR,CRUCOR,SARG,2022,1,RDA,TN
CLEP,sargassum,1,control,vertical,row02col03,1/30/22,SARHOR,JUVSHOR,SARG,2022,1,RDA,TN
CLEP,sargassum,1,control,vertical,row03col03,1/30/22,SARHOR,JUVSHOR,SARG,2022,1,RDA,TN
CLEP,sargassum,1,control,vertical,row04col03,1/30/22,SARHOR,JUVSHOR,SARG,2022,1,RDA,TN
CLEP,sargassum,1,control,vertical,row05col03,1/30/22,SARHOR,ROCK,SARG,2022,1,RDA,TN
CLEP,sargassum,1,control,vertical,row01col04,1/30/22,ARTCOR,ULVENT,SARG,2022,1,RDA,TN
CLEP,sargassum,1,control,vertical,row02col04,1/30/22,SARHOR,JUVSHOR,SARG,2022,1,RDA,TN
CLEP,sargassum,1,control,vertical,row03col04,1/30/22,SARHOR,OTHRED,SARG,2022,1,RDA,TN
CLEP,sargassum,1,control,vertical,row04col04,1/30/22,SARHOR,CRUCOR,SARG,2022,1,RDA,TN
CLEP,sargassum,1,control,vertical,row05col04,1/30/22,SARHOR,SARHOR,SARG,2022,1,RDA,TN
CLEP,sargassum,1,control,vertical,row01col05,1/30/22,ARTCOR,JUVSHOR,SARG,2022,1,RDA,TN
CLEP,sargassum,1,control,vertical,row02col05,1/30/22,ARTCOR,JUVSHOR,SARG,2022,1,RDA,TN
CLEP,sargassum,1,control,vertical,row03col05,1/30/22,SARHOR,SARHOR,SARG,2022,1,RDA,TN
CLEP,sargassum,1,control,vertical,row04col05,1/30/22,SARHOR,PTESPP,SARG,2022,1,RDA,TN
CLEP,sargassum,1,control,vertical,row05col05,1/30/22,SARHOR,ARTCOR,SARG,2022,1,RDA,TN
CLEP,sargassum,1,manipulation,vertical,row01col01,1/30/22,CHOCAN,JUVSHOR,SARG,2022,1,RDA,TN
CLEP,sargassum,1,manipulation,vertical,row02col01,1/30/22,SARHOR,SARHOR,SARG,2022,1,RDA,TN
CLEP,sargassum,1,manipulation,vertical,row03col01,1/30/22,SARHOR,CRUCOR,SARG,2022,1,RDA,TN
CLEP,sargassum,1,manipulation,vertical,row04col01,1/30/22,SARHOR,ROCK,SARG,2022,1,RDA,TN
CLEP,sargassum,1,manipulation,vertical,row05col01,1/30/22,SARHOR,SARHOR,SARG,2022,1,RDA,TN
CLEP,sargassum,1,manipulation,vertical,row01col02,1/30/22,OTHBRO,CRUCOR,SARG,2022,1,RDA,TN
CLEP,sargassum,1,manipulation,vertical,row02col02,1/30/22,SARHOR,JUVSHOR,SARG,2022,1,RDA,TN
CLEP,sargassum,1,manipulation,vertical,row03col02,1/30/22,SARHOR,OTHRED,SARG,2022,1,RDA,TN
CLEP,sargassum,1,manipulation,vertical,row04col02,1/30/22,SARHOR,SPONGE,SARG,2022,1,RDA,TN
CLEP,sargassum,1,manipulation,vertical,row05col02,1/30/22,SARHOR,CRUCOR,SARG,2022,1,RDA,TN
CLEP,sargassum,1,manipulation,vertical,row01col03,1/30/22,SARHOR,SARHOR,SARG,2022,1,RDA,TN
CLEP,sargassum,1,manipulation,vertical,row02col03,1/30/22,SARHOR,SARHOR,SARG,2022,1,RDA,TN
CLEP,sargassum,1,manipulation,vertical,row03col03,1/30/22,SARHOR,PTESPP,SARG,2022,1,RDA,TN
CLEP,sargassum,1,manipulation,vertical,row04col03,1/30/22,SARHOR,ARTCOR,SARG,2022,1,RDA,TN
CLEP,sargassum,1,manipulation,vertical,row05col03,1/30/22,SARHOR,OTHRED,SARG,2022,1,RDA,TN
CLEP,sargassum,1,manipulation,vertical,row01col04,1/30/22,SARHOR,JUVSHOR,SARG,2022,1,RDA,TN
CLEP,sargassum,1,manipulation,vertical,row02col04,1/30/22,SARHOR,SARHOR,SARG,2022,1,RDA,TN
CLEP,sargassum,1,manipulation,vertical,row03col04,1/30/22,SARHOR,JUVSHOR,SARG,2022,1,RDA,TN
CLEP,sargassum,1,manipulation,vertical,row04col04,1/30/22,SARHOR,JUVSHOR,SARG,2022,1,RDA,TN
CLEP,sargassum,1,manipulation,vertical,row05col04,1/30/22,SARHOR,OTHRED,SARG,2022,1,RDA,TN
CLEP,sargassum,1,manipulation,vertical,row01col05,1/30/22,ARTCOR,CRUCOR,SARG,2022,1,RDA,TN
CLEP,sargassum,1,manipulation,vertical,row02col05,1/30/22,SARHOR,CRUCOR,SARG,2022,1,RDA,TN
CLEP,sargassum,1,manipulation,vertical,row03col05,1/30/22,SARHOR,CRUCOR,SARG,2022,1,RDA,TN
CLEP,sargassum,1,manipulation,vertical,row04col05,1/30/22,SARHOR,CRUCOR,SARG,2022,1,RDA,TN
CLEP,sargassum,1,manipulation,vertical,row05col05,1/30/22,SARHOR,CRUCOR,SARG,2022,1,RDA,TN
CLEP,sargassum,12,control,horizontal,row01col01,1/30/22,CHOCAN,ARTCOR,SARG,2022,1,RDA,TN
CLEP,sargassum,12,control,horizontal,row02col01,1/30/22,NEOSUB,ARTCOR,SARG,2022,1,RDA,TN
CLEP,sargassum,12,control,horizontal,row03col01,1/30/22,ARTCOR,ROCK,SARG,2022,1,RDA,TN
CLEP,sargassum,12,control,horizontal,row04col01,1/30/22,SARHOR,ARTCOR,SARG,2022,1,RDA,TN
CLEP,sargassum,12,control,horizontal,row05col01,1/30/22,ARTCOR,ARTCOR,SARG,2022,1,RDA,TN
CLEP,sargassum,12,control,horizontal,row01col02,1/30/22,NEOSUB,CHOCAN,SARG,2022,1,RDA,TN
CLEP,sargassum,12,control,horizontal,row02col02,1/30/22,CHOCAN,ARTCOR,SARG,2022,1,RDA,TN
CLEP,sargassum,12,control,horizontal,row03col02,1/30/22,CHOCAN,ARTCOR,SARG,2022,1,RDA,TN
CLEP,sargassum,12,control,horizontal,row04col02,1/30/22,SARHOR,ROCK,SARG,2022,1,RDA,TN
