Trip,Survey,Site,Block,Treatment,Direction,Dead,Substrate,Cynodon_dactylon,Other_plants,Total,grass_prc_cover,total_plant_prc_cover,dead_prc_cover,bare_prc_cover
1,HiLo,Dunes,1,Control,Lo,0,100,0,0,100,0,0,0,100
1,HiLo,Dunes,1,Control,Hi,0,74,0,26,100,0,26,0,74
1,Ladder,Dunes,1,Control,L,0,99,0,1,100,0,1,0,99
1,Ladder,Dunes,1,Control,R,4,94,0,2,100,0,2,4,94
1,HiLo,Dunes,1,Sargassum,Lo,0,100,0,0,100,0,0,0,100
1,HiLo,Dunes,1,Sargassum,Hi,42,58,0,0,100,0,0,42,58
1,Ladder,Dunes,1,Sargassum,R,21,49,0,30,100,0,30,21,49
1,Ladder,Dunes,1,Sargassum,L,9,91,0,0,100,0,0,9,91
1,HiLo,Jungle,1,Control,Lo,59,41,0,0,100,0,0,59,41
1,HiLo,Jungle,1,Control,Hi,88,0,3,9,100,3,12,88,0
1,Ladder,Jungle,1,Control,L,78,18,0,4,100,0,4,78,18
1,Ladder,Jungle,1,Control,R,81,19,0,0,100,0,0,81,19
1,HiLo,Jungle,1,Sargassum,Lo,40,51,0,9,100,0,9,40,51
1,HiLo,Jungle,1,Sargassum,Hi,88,12,0,0,100,0,0,88,12
1,Ladder,Jungle,1,Sargassum,L,44,33,0,23,100,0,23,44,33
1,Ladder,Jungle,1,Sargassum,R,85,7,0,8,100,0,8,85,7
1,HiLo,Dunes,2,Control,Lo,7,93,0,0,100,0,0,7,93
1,HiLo,Dunes,2,Control,Hi,16,60,0,24,100,0,24,16,60
1,Ladder,Dunes,2,Control,L,0,98,0,2,100,0,2,0,98
1,Ladder,Dunes,2,Control,R,16,84,0,0,100,0,0,16,84
1,HiLo,Dunes,2,Sargassum,Lo,48,52,0,0,100,0,0,48,52
1,HiLo,Dunes,2,Sargassum,Hi,47,31,15,7,100,15,22,47,31
1,Ladder,Dunes,2,Sargassum,L,0,100,0,0,100,0,0,0,100
1,Ladder,Dunes,2,Sargassum,R,30,71,0,0,101,0,0,30,70
1,HiLo,Jungle,2,Control,Lo,77,10,12,1,100,12,13,77,10
1,HiLo,Jungle,2,Control,Hi,81,0,0,19,100,0,19,81,0
1,Ladder,Jungle,2,Control,R,81,10,0,9,100,0,9,81,10
1,Ladder,Jungle,2,Control,R,88,9,0,3,100,0,3,88,9
1,HiLo,Jungle,2,Sargassum,Lo,93,1,1,5,100,1,6,93,1
1,HiLo,Jungle,2,Sargassum,Hi,89,10,0,1,100,0,1,89,10
1,Ladder,Jungle,2,Sargassum,R,79,2,18,1,100,18,19,79,2
1,Ladder,Jungle,2,Sargassum,R,93,0,0,7,100,0,7,93,0
1,HiLo,Dunes,3,Control,Lo,0,99,1,0,100,1,1,0,99
1,HiLo,Dunes,3,Control,Hi,11,95,3,1,110,3,4,10,86
1,Ladder,Dunes,3,Control,L,15,66,10,9,100,10,19,15,66
1,Ladder,Dunes,3,Control,R,5,88,0,7,100,0,7,5,88
1,HiLo,Dunes,3,Sargassum,Lo,28,72,0,0,100,0,0,28,72
1,HiLo,Dunes,3,Sargassum,Hi,61,26,12,1,100,12,13,61,26
1,Ladder,Dunes,3,Sargassum,L,13,87,0,0,100,0,0,13,87
1,Ladder,Dunes,3,Sargassum,R,39,53,2,6,100,2,8,39,53
1,HiLo,Jungle,3,Control,Lo,86,14,0,0,100,0,0,86,14
1,HiLo,Jungle,3,Control,Hi,86,14,0,0,100,0,0,86,14
1,Ladder,Jungle,3,Control,L,89,7,0,5,101,0,5,88,7
1,Ladder,Jungle,3,Control,R,76,15,0,9,100,0,9,76,15
1,HiLo,Jungle,3,Sargassum,Lo,89,10,0,1,100,0,1,89,10
1,HiLo,Jungle,3,Sargassum,Hi,91,9,0,0,100,0,0,91,9
1,Ladder,Jungle,3,Sargassum,L,70,25,0,5,100,0,5,70,25
1,Ladder,Jungle,3,Sargassum,R,100,0,0,0,100,0,0,100,0
1,HiLo,Dunes,4,Control,Lo,1,99,0,0,100,0,0,1,99
1,HiLo,Dunes,4,Control,Hi,20,57,17,6,100,17,23,20,57
1,Ladder,Dunes,4,Control,L,2,97,1,0,100,1,1,2,97
1,Ladder,Dunes,4,Control,R,2,85,13,0,100,13,13,2,85
1,HiLo,Dunes,4,Sargassum,Lo,32,56,0,12,100,0,12,32,56
1,HiLo,Dunes,4,Sargassum,Hi,17,31,0,52,100,0,52,17,31
1,Ladder,Dunes,4,Sargassum,L,9,91,0,0,100,0,0,9,91
1,Ladder,Dunes,4,Sargassum,R,11,68,21,0,100,21,21,11,68
1,HiLo,Jungle,4,Control,Lo,74,2,0,0,76,0,0,97,3
1,HiLo,Jungle,4,Control,Hi,76,0,0,24,100,0,24,76,0
1,Ladder,Jungle,4,Control,L,81,16,0,2,99,0,2,82,16
1,Ladder,Jungle,4,Control,R,95,5,0,0,100,0,0,95,5
1,HiLo,Jungle,4,Sargassum,Lo,87,13,0,0,100,0,0,87,13
1,HiLo,Jungle,4,Sargassum,Hi,91,0,0,9,100,0,9,91,0
1,Ladder,Jungle,4,Sargassum,L,94,6,0,0,100,0,0,94,6
1,Ladder,Jungle,4,Sargassum,R,83,12,0,5,100,0,5,83,12
1,HiLo,Dunes,5,Control,Lo,1,99,0,0,100,0,0,1,99
1,HiLo,Dunes,5,Control,Hi,32,27,0,41,100,0,41,32,27
1,Ladder,Dunes,5,Control,L,0,100,0,0,100,0,0,0,100
1,Ladder,Dunes,5,Control,R,6,94,0,0,100,0,0,6,94
1,HiLo,Dunes,5,Sargassum,Lo,21,79,0,0,100,0,0,21,79
1,HiLo,Dunes,5,Sargassum,Hi,41,11,0,48,100,0,48,41,11
1,Ladder,Dunes,5,Sargassum,L,24,76,0,0,100,0,0,24,76
1,Ladder,Dunes,5,Sargassum,R,23,77,0,0,100,0,0,23,77
1,HiLo,Jungle,5,Control,Lo,66,34,0,0,100,0,0,66,34
1,HiLo,Jungle,5,Control,Hi,96,0,0,4,100,0,4,96,0
1,Ladder,Jungle,5,Control,L,91,9,0,0,100,0,0,91,9
1,Ladder,Jungle,5,Control,R,99,1,0,0,100,0,0,99,1
1,HiLo,Jungle,5,Sargassum,Lo,90,9,0,1,100,0,1,90,9
1,HiLo,Jungle,5,Sargassum,Hi,100,0,0,0,100,0,0,100,0
1,Ladder,Jungle,5,Sargassum,L,88,12,0,0,100,0,0,88,12
1,Ladder,Jungle,5,Sargassum,R,100,0,0,0,100,0,0,100,0
2,HiLo,Dunes,1,Control,Lo,67,33,0,0,100,0,0,67,33
2,HiLo,Dunes,1,Control,Hi,0,91,5,4,100,5,9,0,91
2,Ladder,Dunes,1,Control,L,22,78,0,0,100,0,0,22,78
2,Ladder,Dunes,1,Control,R,40,28,0,32,100,0,32,40,28
2,HiLo,Dunes,1,Sargassum,Lo,73,16,11,0,100,11,11,73,16
2,HiLo,Dunes,1,Sargassum,Hi,0,0,78,22,100,78,100,0,0
2,Ladder,Dunes,1,Sargassum,L,0,81,0,19,100,0,19,0,81
