Site,Trip,Order,Effect_size,lower_ci,upper_ci
Dune,1,Amphipoda,1.492522,0.4301729,2.5548713
Dune,1,Arachnida,0.9454063,-0.045251,1.936064
Dune,1,Hymenoptera,0.3503983,-0.5963451,1.2971416
Dune,2,Amphipoda,-0.4472136,-1.3984465,0.5040193
Dune,2,Arachnida,-0.58554,-1.5450232,0.3739431
Dune,2,Hymenoptera,0.6775297,-0.2886116,1.643671
Dune,3,Amphipoda,0.4472136,-0.5040193,1.3984465
Dune,3,Arachnida,-0.8049845,-1.7818567,0.1718878
Dune,3,Hymenoptera,0.6336322,-0.3292166,1.596481
Jungle,1,Amphipoda,0,0,0
Jungle,1,Arachnida,0,-0.9902104,1.2900878
Jungle,1,Hymenoptera,0.1499387,-0.9902104,1.2900878
Jungle,2,Amphipoda,0,0,0
Jungle,2,Arachnida,0.1070746,-0.8331593,1.0473085
Jungle,2,Hymenoptera,-0.04047039,-0.9801275,0.8991867
Jungle,3,Amphipoda,0,0,0
Jungle,3,Arachnida,-0.2860388,-1.230392,0.6583145
Jungle,3,Hymenoptera,0.4394695,-0.511365,1.390304
