sample Id ,diluted NO3 (uM),dilution, soil weight (g),volume (L),N per gram soil (ugN/g),site,trip,block,treatment,N,NH4,C
sj1 8/22,319.567,4,7.898,0.025,56.67357684,Forest,1,1,Sargassum,56.67357684,14.54090717,1162.306812
sj2 8/22,68.157,8,6.886,0.025,27.72740784,Forest,1,2,Sargassum,27.72740784,34.00179311,1198.811502
sj3 8/22,117.386,8,7.6265,0.025,43.11782564,Forest,1,3,Sargassum,43.11782564,23.10329544,1717.505645
sj4 8/22,592.775,4,10.2935,0.025,80.66082083,Forest,1,4,Sargassum,80.66082083,30.05028048,1727.051518
sj5 8/22,384.532,4,9.675,0.025,55.66950247,Forest,1,5,Sargassum,55.66950247,23.25481369,1475.241674
cj1 8/22,135.265,8,7.27186,0.025,52.10816147,Forest,1,1,Control,52.10816147,26.35138214,1140.445718
cj2 8/22,101.283,4,6.3815,0.025,22.23051941,Forest,1,2,Control,22.23051941,23.81358489,1138.19685
cj3 8/22,218.599,4,7.87345,0.025,38.88829691,Forest,1,3,Control,38.88829691,30.34323948,1461.970953
cj4 8/22,128.04,8,4.40199,0.015,48.88928511,Forest,1,4,Control,48.88928511,28.05067598,1175.861136
cj5 8/22,76.362,4,8.15055,0.025,13.1227908,Forest,1,5,Control,13.1227908,22.42136609,836.1718902
1js3 11/22,391.512,4,2.9386,0.025,186.6123709,Forest,2,1,Sargassum,186.6123709,12.88634513,1905.522902
2js3 11/22,512.931,8,5.25108,0.025,273.6378283,Forest,2,2,Sargassum,273.6378283,11.6150344,1157.154414
3js3 11/22,498.848,4,2.0072,0.025,348.107527,Forest,2,3,Sargassum,348.107527,23.85036341,2518.974093
4js3 11/22,434.986,1,4.38564,0.025,34.73106779,Forest,2,4,Sargassum,34.73106779,23.36014944,857.1953922
5js3 11/22,356.673,4,5.4296,0.025,92.01067683,Forest,2,5,Sargassum,92.01067683,21.78215205,1190.230441
1jc3 11/22,294.279,1,3.285,0.025,31.36893203,Forest,2,1,Control,31.36893203,46.18821251,1539.143014
2jc3 11/22,565.712,1,3.7791,0.025,52.41828921,Forest,2,2,Control,52.41828921,43.84529632,1491.814241
3jc3 11/22,288.891,4,4.9658,0.025,81.48555257,Forest,2,3,Control,81.48555257,58.13606946,1819.823271
4jc3 11/22,290.85,1,3.308945,0.025,30.77906021,Forest,2,4,Control,30.77906021,34.05358818,1385.369174
5jc3 11/22,167.901,4,5.49698,0.025,42.78238117,Forest,2,5,Control,42.78238117,25.4451729,806.1802663
1js sed 3/23,635.802,8,10.4138,0.025,171.0324353,Forest,3,1,Sargassum,171.0324353,3.523060712,750.5829572
2js sed 3/23,190.419,8,11.9657,0.025,44.57978735,Forest,3,2,Sargassum,44.57978735,2.926046769,714.9912834
3js sed 3/23,296.422,4,10.4125,0.025,39.87413232,Forest,3,3,Sargassum,39.87413232,3.339647916,1094.646166
4js sed 3/23,64.177,4,10.7892,0.025,8.331553645,Forest,3,4,Sargassum,8.331553645,2.982356592,644.9302636
5js sed 3/23,202.802,4,10.1083,0.025,28.10152818,Forest,3,5,Sargassum,28.10152818,7.011282922,818.073227
1jc sed 3/23,119.529,4,10.8209,0.025,15.47197409,Forest,3,1,Control,15.47197409,6.35834463,465.0493767
2jc sed 3/23,128.407,4,10.4483,0.025,17.21388481,Forest,3,2,Control,17.21388481,7.063374118,543.2315688
3jc sed 3/23,666.986,1,10.6029,0.025,22.02763585,Forest,3,3,Control,22.02763585,6.747665538,710.6683643
4jc sed 3/23,173.595,1,10.3128,0.025,5.894357222,Forest,3,4,Control,5.894357222,6.527136053,539.273912
5jc sed 3/23,204.026,1,10.4706,0.025,6.823226401,Forest,3,5,Control,6.823226401,7.023649856,573.036273
j1s  8/23,198.638,8,10.418,0.025,53.41261038,Forest,4,1,Sargassum,53.41261038,3.219705797,275.7341524
j2s 8/23,170.105,4,10.4305,0.025,22.84271802,Forest,4,2,Sargassum,22.84271802,4.83865987,339.3929725
j3s 8/23,141.694,4,10.2334,0.025,19.39399759,Forest,4,3,Sargassum,19.39399759,4.590118529,604.0221236
j4s 8/23,884.719,1,10.6808,0.025,29.00530301,Forest,4,4,Sargassum,29.00530301,7.747531342,517.1235113
j5s 8/23,150.818,4,10.2944,0.025,20.52050125,Forest,4,5,Sargassum,20.52050125,6.750888158,397.6016475
j1c 8/23,687.926,1,10.2042,0.025,23.60688027,Forest,4,1,Control,23.60688027,2.160708006,117.0562709
j2c 8/23,271.073,4,10.4055,0.025,36.48876257,Forest,4,2,Control,36.48876257,5.52241961,267.3607611
j3c 8/23,360.469,1,10.1185,0.025,12.47462851,Forest,4,3,Control,12.47462851,4.235267001,339.4933241
j4c 8/23,100.487,1,10.2733,0.025,3.425119638,Forest,4,4,Control,3.425119638,5.661960982,287.0440462
j5c 8/23,194.168,1,10.1765,0.025,6.681208976,Forest,4,5,Control,6.681208976,5.008222797,355.3594261
1ds2 11/22,235.927,4,10.5753,0.025,31.24789567,Beach,2,1,Sargassum,31.24789567,2.93410518,235.2307736
2ds3 11/22,688.171,1,10.9781,0.025,21.95053048,Beach,2,2,Sargassum,21.95053048,2.272272284,45.11452801
3ds4 11/22,452.436,4,10.57301,0.025,59.93690842,Beach,2,3,Sargassum,59.93690842,2.664655245,49.96616857
4ds3 11/22 ,266.665,4,10.48093,0.025,35.63707281,Beach,2,4,Sargassum,35.63707281,2.339599589,128.4213519
5ds3 11/22,354.713,1,10.9939,0.025,11.29798929,Beach,2,5,Sargassum,11.29798929,2.308533844,43.60971084
1dc3 11/22,12.683,1,10.16716,0.025,0.43681563,Beach,2,1,Control,0.43681563,2.690636874,12.42116776
2dc3 11/22,168.268,1,10.75993,0.025,5.476056525,Beach,2,2,Control,5.476056525,2.472211651,16.3968353
3dc3 11/22,6.706,1,7.09549,0.025,0.33094589,Beach,2,3,Control,0.33094589,3.655654164,7.923511977
4dc3 11/22,13.06,1,8.38041,0.025,0.545699739,Beach,2,4,Control,0.545699739,3.063021828,15.759754
5dc3 11/22,12.947,1,10.4794,0.025,0.432621965,Beach,2,5,Control,0.432621965,2.429760269,16.83577304
1ds sedi 3/23,781.425,8,10.4046,0.025,210.3912798,Beach,3,1,Sargassum,210.3912798,1.110146008,466.9453895
2ds sedi 3/23,779.894,4,10.7723,0.025,101.4058399,Beach,3,2,Sargassum,101.4058399,1.393837178,429.0464246
3ds sedi 3/23,309.158,4,10.5996,0.025,40.85327143,Beach,3,3,Sargassum,40.85327143,1.616414356,474.6079475
4ds  sedi 3/23,863.963,8,10.5641,0.025,229.1017797,Beach,3,4,Sargassum,229.1017797,1.573120226,488.1300253
5ds sedi 3/23,313.261,1,10.9222,0.025,10.04319837,Beach,3,5,Sargassum,10.04319837,0.177228575,102.7513871
1dc sedi 3/23,72.749,1,10.2951,0.025,2.4744136,Beach,3,1,Control,2.4744136,2.761687615,19.59541918
2dc sedi 3/23,55.85,1,10.7465,0.025,1.819834818,Beach,3,2,Control,1.819834818,2.707301624,70.69419811
3dc sedi 3/23,62.708,1,10.9347,0.025,2.00813041,Beach,3,3,Control,2.00813041,2.703296815,55.36810338
4dc sedi 3/23,135.939,1,10.8534,0.025,4.385853261,Beach,3,4,Control,4.385853261,2.704478844,149.1266516
5dc sedi 3/23,47.033,1,10.3615,0.025,1.589482993,Beach,3,5,Control,1.589482993,2.68609885,47.51242581
d1s 8/23,652.413,4,10.5274,0.025,86.80351433,Beach,4,1,Sargassum,86.80351433,3.227525587,450.2629709
d2s 8/23,80.832,1,10.6849,0.025,2.64904111,Beach,4,2,Sargassum,2.64904111,2.485671777,47.51774935
d3s 8/23,401.554,4,10.4798,0.025,53.66940602,Beach,4,3,Sargassum,53.66940602,2.744623811,233.9391973
4ds 8/23,37.848,1,10.6935,0.025,1.239364057,Beach,4,4,Sargassum,1.239364057,2.481740729,50.84606537
d5s  8/23,331.936,1,10.1876,0.025,11.4092818,Beach,4,5,Sargassum,11.4092818,2.625293836,138.4287565
d1c 8/23,18.66,1,10.414,0.025,0.627436677,Beach,4,1,Control,0.627436677,2.534460852,22.25006722
d2c 8/23,61.483,1,10.38,0.025,2.074118343,Beach,4,2,Control,2.074118343,2.485953106,11.98075145
d3c 8/23,13.785,1,10.8619,0.025,0.44440282,Beach,4,3,Control,0.44440282,2.468990522,9.437078228
d4c 8/23,21.684,1,10.7977,0.025,0.703208282,Beach,4,4,Control,0.703208282,2.612060095,9.612213712
d5c 8/23,3.133,1,10.3717,0.025,0.105775792,Beach,4,5,Control,0.105775792,2.594663624,18.12617025
