Site,Trip,Treatment,Data,Order,Effect_size,lower_ci,upper_ci
Dune,1,na,eff_size,Amphipoda,0.8930015,0.4330.22168318479,1.5643199
Dune,1,na,eff_size,Diptera,1.176193,0.4828778,1.8695087
Dune,1,na,eff_size,Hymenoptera,-0.2395055,-0.8819662,0.4029551
Dune,2,na,eff_size,Amphipoda,0,0,0
Dune,2,na,eff_size,Diptera,0.6230843,-0.0324348,3.1874071
Dune,2,na,eff_size,Hymenoptera,0.8005631,-0.7151766,1.2786034
Dune,3,na,eff_size,Amphipoda,0,0,0
Dune,3,na,eff_size,Diptera,-0.8402876,-1.5081108,-0.1724644
Dune,3,na,eff_size,Hymenoptera,0.7956646,0.1306472,1.460682
Jungle,1,na,eff_size,Amphipoda,0,0,0
Jungle,1,na,eff_size,Diptera,0.3204368,-0.323828,0.9647017
Jungle,1,na,eff_size,Hymenoptera,-0.1478868,-0.7889309,0.4931573
Jungle,2,na,eff_size,Amphipoda,0,0,0
Jungle,2,na,eff_size,Diptera,2.02568,1.238265,2.813094
Jungle,2,na,eff_size,Hymenoptera,0.7557029,0.09307762,1.41832828
Jungle,3,na,eff_size,Amphipoda,0,0,0
Jungle,3,na,eff_size,Diptera,0.2136327,-0.4283604,0.8556258
Jungle,3,na,eff_size,Hymenoptera,0.6384247,-0.01785011,1.29469954
